IAU_NAME,NAME_JA,COMMENT,NOTATION
Absolutno,,,
Alasia,,,
Amadioha,,,
Amansinaya,,,
Anadolu,,,
Aniara,,,
Arcalís,,,
Atakoraka,,,
Axólotl,,,
Ayeyarwady,,,
Baekdu,,,
Bélénos,,,
Belel,,,
Berehynia,,,
Bibhā,,,
Bosona,,,
Bubup,,,
Buna,,,
Ceibo,,,
Chaophraya,,,
Chasoň,,,
Chechia,,,
Citadelle,,,
Citalá,,,
Cocibolca,,,
Dingolay,,,
Dìwö,,,
Diya,,,
Dofida,,,
Dombay,,,
Ebla,,,
Emiw,,,
Felixvarela,,,
Flegetonte,,,
Formosa,,,
Franz,,,
Funi,,,
Gakyid,,,
Gloas,,,
Gumala,,,
Hoggar,,,
Horna,,,
Hunahpú,,,
Hunor,,,
Illyrian,,,
Inquill,,,
Intan,,,
Irena,,,
Itonda,,,
Kalausi,,,
Kamuy,,,
Karaka,,,
Kaveh,,,
Koeia,,,
Koit,,,
Lerna,,,
Liesma,,,
Lionrock,,,
Lucilinburhuc,,,
Lusitânia,,,
Macondo,,,
Mago,,,
Mahsati,,,
Malmok,,,
Márohu,,,
Mazaalai,,,
Moldoveanu,,,
Mönch,,,
Montuno,,,
Morava,,,
Moriah,,,
Mouhoun,,,
Mpingo,,,
Muspelheim,,,
Naledi,,,
Násti,,,
Natasha,,,
Nenque,,,
Nervia,,,
Nikawiy,,,
Nosaxa,,,
Nushagak,,,
Nyamien,,,
Parumleo,,,
Petra,,,
Phoenicia,,,
Pincoya,,,
Pipoltr,,,
Poerava,,,
Rapeto,,,
Rosaliadecastro,,,
Sagarmatha,,,
Sāmaya,,,
Sansuna,,,
Shama,,,
Sharjah,,,
Sika,,,
Solaris,,,
Sterrennacht,,,
Stribor,,,
Taika,,,
Tangra,,,
Tapecue,,,
Tevel,,,
Timir,,,
Tislit,,,
Tojil,,,
Tuiren,,,
Tupã,,,
Tupi,,,
Uklun,,,
Uruk,,,
Xihe,,,
Gudja,,,
Guniibuu,,,
Imai,,,
La Superba,,,
Paikauhale,,,
Toliman,,,
Alpherg,,,
Alruba,,,
Ashlesha,,,
Azmidi,,,
Bunda,,,
Elgafar,,,
Elkurud,,,
Fawaris,,,
Felis,,,
Fumalsamakah,,,
Heze,,,
Kraz,,,
Nahn,,,
Okab,,,
Piautos,,,
Tarf,,,
Ukdah,,,
Acamar,アカマル,,
Achernar,アケルナル,,
Achird,,,
Acrab,,,
Acrux,アクルックス,,
Acubens,,,
Adhafera,,,
Adhara,,,
Adhil,,,
Ain,,,
Ainalrami,,,
Aladfar,,,
Albaldah,,,
Albali,,,
Albireo,,,
Alchiba,,,
Alcor,,,
Alcyone,,,
Aldebaran,アルデバラン,,
Alderamin,アルデラミン,,
Aldhanab,,,
Aldhibah,,,
Aldulfin,,,
Alfirk,,,
Algedi,,,
Algenib,アルゲニブ,,
Algieba,,,
Algol,アルゴル,,
Algorab,,,
Alhena,,,
Alioth,,,
Aljanah,,,
Alkaid,,,
Alkalurops,,,
Alkaphrah,,,
Alkarab,,,
Alkes,,,
Almaaz,,,
Almach,,,
Alnair,アルナイル,,
Alnasl,,,
Alnilam,,,
Alnitak,,,
Alniyat,,,
Alphard,アルファード,,
Alphecca,アルフェッカ,,
Alpheratz,アルフェラッツ,,
Alrakis,,,
Alrescha,,,
Alsafi,,,
Alsciaukat,,,
Alsephina,,,
Alshain,,,
Alshat,,,
Altair,アルタイル,夏の大三角,
Altais,,,
Alterf,,,
Aludra,,,
Alula Australis,,,
Alula Borealis,,,
Alya,,,
Alzirr,,,
Ancha,,,
Angetenar,,,
Ankaa,,,
Anser,,,
Antares,アンタレス,,
Arcturus,アークトゥルス,春の大三角,
Arkab Posterior,,,
Arkab Prior,,,
Arneb,,,
Ascella,,,
Asellus Australis,,,
Asellus Borealis,,,
Aspidiske,,,
Asterope,,,
Athebyne,,,
Atik,,,
Atlas,,,
Atria,,,
Avior,,,
Azelfafage,,,
Azha,,,
Barnard's Star,,,
Baten Kaitos,,,
Beemim,,,
Beid,,,
Bellatrix,ベラトリックス,,
Betelgeuse,ベテルギウス,冬の大三角,太陽の1000倍の赤色巨星
Bharani,,,
Biham,,,
Botein,,,
Brachium,,,
Canopus,カノープス,,
Capella,カペラ,,
Caph,カフ,,
Castor,カストル,,
Castula,,,
Cebalrai,,,
Celaeno,,,
Cervantes,,,
Chalawan,,,
Chamukuy,,,
Chara,,,
Chertan,,,
Copernicus,,,
Cor Caroli,コル・カロリ,,
Cujam,,,
Cursa,,,
Dabih,,,
Dalim,,,
Deneb Algedi,,,
Deneb,デネブ,夏の大三角,地球から1500-3000光年
Denebola,デネボラ,,
Diadem,,,
Diphda,ディフダ,,
Dschubba,,,
Dubhe,,,
Dziban,,,
Edasich,,,
Electra,,,
Elnath,,,
Eltanin,エルタニン,,
Enif,,,
Errai,,,
Fafnir,,,
Fang,,,
Fomalhaut,フォーマルハウト,秋の一つ星,
Fulu,,,
Furud,,,
Fuyue,,,
Gacrux,ガクルックス,,
Geminga,,,
Giausar,,,
Gienah,,,
Gomeisa,,,
Grumium,,,
Hadar,,,
Haedus,,,
Hamal,ハマル,,
Hassaleh,,,
Hatysa,,,
Helvetios,,,
Homam,,,
Iklil,,,
Intercrus,,,
Izar,,,
Jabbah,,,
Jishui,,,
Kaffaljidhma,,,
Kang,,,
Kaus Australis,,,
Kaus Borealis,,,
Kaus Media,,,
Keid,,,
Khambalia,,,
Kitalpha,,,
Kochab,コカブ,,
Kornephoros,,,
Kurhah,,,
Lesath,,,
Libertas,,,
Lich,,,
Lilii Borea,,,
Maasym,,,
Mahasim,,,
Maia,,,
Marfik,,,
Markab,マルカブ,秋の四辺形,
Markeb,,,
Marsic,,,
Matar,,,
Mebsuta,,,
Megrez,,,
Meissa,,,
Mekbuda,,,
Meleph,,,
Menkalinan,,,
Menkar,,,
Menkent,,,
Menkib,,,
Merak,,,
Merga,,,
Meridiana,,,
Merope,,,
Mesarthim,,,
Miaplacidus,,,
Mimosa,ミモザ,,
Minchir,,,
Minelauva,,,
Mintaka,,,
Mira,ミラ,,脈動変光星
Mirach,ミラク,,
Miram,,,
Mirfak,,,
Mirzam,,,
Misam,,,
Mizar,ミザール,,二重星
Mothallah,,,
Muliphein,,,
Muphrid,,,
Muscida,,,
Musica,,,
Naos,,,
Nashira,,,
Nekkar,,,
Nembus,,,
Nihal,,,
Nunki,,,
Nusakan,,,
Ogma,,,
Peacock,,,
Phact,,,
Phecda,,,
Pherkad,,,
Pipirima,,,
Pleione,,,
Polaris Australis,ポラリス・アウストラリス,,
Polaris,ポラリス,,
Polis,,,
Pollux,ポルックス,冬のダイヤモンド,
Porrima,,,
Praecipua,,,
Prima Hyadum,,,
Procyon,プロキオン,冬の大三角/冬のダイヤモンド,
Propus,,,
Proxima Centauri,プロキシマ・ケンタウルス,,
Ran,,,
Rana,,,
Rasalas,,,
Rasalgethi,ラスアルゲティ,,
Rasalhague,ラスアルハゲ,,
Rastaban,ラスタバン,,
Regulus,レグルス,,
Revati,,,
Rigel,リゲル,,
Rigil Kentaurus,リギル・ケンタウルス,太陽から4.3光年,
Rotanev,,,
Ruchbah,,,
Rukbat,,,
Sabik,,,
Saclateni,,,
Sadachbia,,,
Sadalbari,,,
Sadalmelik,,,
Sadalsuud,,,
Sadr,サドル,,
Saiph,サイフ,,
Salm,,,
Sargas,,,
Sarin,,,
Sceptrum,,,
Scheat,,,
Schedar,,,
Secunda Hyadum,,,
Segin,,,
Seginus,,,
Sham,,,
Shaula,シャウラ,,
Sheliak,,,
Sheratan,,,
Sirius,シリウス,冬の大三角,太陽系外では最も明るく見える星
Situla,,,
Skat,,,
Spica,スピカ,春の大三角,
Sualocin,,,
Subra,,,
Suhail,,,
Sulafat,,,
Syrma,,,
Tabit,,,
Taiyangshou,,,
Taiyi,,,
Talitha,,,
Tania Australis,,,
Tania Borealis,,,
Tarazed,,,
Taygeta,,,
Tegmine,,,
Tejat,,,
Terebellum,,,
Theemin,,,
Thuban,トゥバン,,約2500年前の北極星
Tiaki,,,
Tianguan,,,
Tianyi,,,
Titawin,,,
Tonatiuh,,,
Torcular,,,
Tureis,,,
Unukalhai,,,
Unurgunite,,,
Vega,ベガ,夏の大三角,0等星
Veritate,,,
Vindemiatrix,,,
Wasat,,,
Wazn,,,
Wezen,,,
Xamidimura,,,
Xuange,,,
Yed Posterior,,,
Yed Prior,,,
Yildun,,,
Zaniah,,,
Zaurak,,,
Zavijava,,,
Zhang,,,
Zibal,,,
Zosma,,,
Zubenelgenubi,,,
Zubenelhakrabi,,,
Zubeneschamali,,,
Larawag,,,
Ginan,,,
Wurren,,,